2.64	2.620.7160 2.64 540 2.64 0.00 -0.54    2.62 536 2.62 0.00 -0.15    99.41 68.22 21.90
2.1450 2.64 540 2.64 0.00 -0.54    2.62 536 2.62 0.00 -0.15    99.41 68.22 21.90
3.8450 2.64 540 2.64 0.00 -0.54    2.62 536 2.62 0.00 -0.15    99.41 68.22 21.90
5.2730 2.64 541 2.64 2.78 4.35    2.62 537 2.62 0.00 4.74    99.41 68.22 21.90
6.9700 2.64 540 2.64 2.78 -0.54    2.62 537 2.62 0.00 4.74    99.41 68.22 21.90
8.3980 2.64 541 2.64 2.78 4.35    2.62 537 2.62 0.00 4.74    99.42 68.22 21.90
10.0960 2.64 560 2.74 8.46 97.21    2.62 545 2.66 0.00 43.84    99.41 68.34 21.90
11.5260 2.64 558 2.73 6.90 87.44    2.62 542 2.65 0.00 29.18    99.41 68.22 21.90
13.2280 2.64 556 2.72 4.87 77.66    2.62 539 2.63 0.00 14.51    99.42 68.34 21.90
14.6570 2.64 556 2.72 7.46 77.66    2.62 543 2.65 0.00 34.06    99.40 68.34 21.90
16.3570 2.64 547 2.67 9.36 33.68    2.62 547 2.67 0.00 53.61    99.40 68.22 21.90
17.7860 2.64 556 2.72 10.17 77.66    2.62 549 2.68 0.00 63.39    99.41 68.34 21.90
19.4890 2.64 557 2.72 4.87 82.55    2.62 539 2.63 0.00 14.51    99.41 68.22 21.90
20.9190 2.64 550 2.69 6.90 48.34    2.62 542 2.65 0.00 29.18    99.41 68.22 21.90
22.6190 2.64 553 2.70 8.46 63.00    2.62 545 2.66 0.00 43.84    99.41 68.22 21.90
24.0490 2.64 559 2.73 4.87 92.33    2.62 539 2.63 0.00 14.51    99.41 68.22 21.90
25.7500 2.64 551 2.69 7.46 53.23    2.62 543 2.65 0.00 34.06    99.41 68.34 21.90
27.1800 2.64 568 2.78 8.46 136.31    2.62 545 2.66 0.00 43.84    99.41 68.34 21.90
28.8820 2.64 550 2.69 8.92 48.34    2.62 546 2.67 0.00 48.73    99.41 68.34 21.90
30.3120 2.64 554 2.71 6.30 67.89    2.62 541 2.64 0.00 24.29    99.41 68.34 21.90
32.0120 2.64 556 2.72 9.36 77.66    2.62 547 2.67 0.00 53.61    99.41 68.34 21.90
33.4420 2.64 553 2.70 3.96 63.00    2.62 538 2.63 0.00 9.63    99.41 68.34 21.90
35.1420 2.64 555 2.71 7.46 72.78    2.62 543 2.65 0.00 34.06    99.41 68.34 21.80
36.5720 2.64 553 2.70 4.87 63.00    2.62 539 2.63 0.00 14.51    99.41 68.34 21.80
38.2730 2.64 551 2.69 8.92 53.23    2.62 546 2.67 0.00 48.73    99.41 68.34 21.90
39.7020 2.64 559 2.73 4.87 92.33    2.62 539 2.63 0.00 14.51    99.41 68.34 21.90
41.4030 2.64 557 2.72 11.61 82.55    2.62 533 2.61 0.00 -14.81    99.41 68.34 21.90
42.8340 2.64 554 2.71 3.96 67.89    2.62 538 2.63 0.00 9.63    99.41 68.34 21.90
44.5350 2.64 558 2.73 7.46 87.44    2.62 543 2.65 0.00 34.06    99.40 68.34 21.80
45.9650 2.64 560 2.74 12.60 97.21    2.62 533 2.61 0.00 -14.81    99.40 68.34 21.80
47.6670 2.64 541 2.64 8.46 4.35    2.62 545 2.66 0.00 43.84    99.40 68.34 21.90
49.0950 2.64 553 2.70 3.96 63.00    2.62 538 2.63 0.00 9.63    99.41 68.34 21.90
50.7960 2.64 559 2.73 8.46 92.33    2.62 545 2.66 0.00 43.84    99.41 68.34 21.90
52.2260 2.64 559 2.73 7.46 92.33    2.62 543 2.65 0.00 34.06    99.41 68.34 21.90
53.9250 2.64 558 2.73 2.78 87.44    2.62 537 2.62 0.00 4.74    99.41 68.34 21.80
55.3550 2.64 558 2.73 5.63 87.44    2.62 540 2.64 0.00 19.40    99.41 68.34 21.80
57.0560 2.64 562 2.75 7.97 106.99    2.62 544 2.66 0.00 38.95    99.41 68.45 21.90
58.4860 2.64 550 2.69 6.30 48.34    2.62 541 2.64 0.00 24.29    99.42 68.45 21.90
60.1880 2.64 552 2.70 9.74 58.11    2.62 535 2.61 0.00 -5.04    99.41 68.45 21.90
61.6180 2.64 554 2.71 6.90 67.89    2.62 542 2.65 0.00 29.18    99.42 68.45 21.90
63.3180 2.64 562 2.75 5.63 106.99    2.62 540 2.64 0.00 19.40    99.42 68.45 21.90
64.7490 2.64 562 2.75 8.46 106.99    2.62 545 2.66 0.00 43.84    99.41 68.45 21.90
66.4510 2.64 559 2.73 5.63 92.33    2.62 540 2.64 0.00 19.40    99.41 68.45 21.90
67.8800 2.64 553 2.70 10.14 63.00    2.62 536 2.62 0.00 -0.15    99.42 68.45 21.90
69.5830 2.64 557 2.72 8.92 82.55    2.62 546 2.67 0.00 48.73    99.41 68.45 21.90
71.0130 2.64 555 2.71 10.93 72.78    2.62 551 2.69 0.00 73.17    99.41 68.45 21.90
72.7140 2.64 550 2.69 8.92 48.34    2.62 546 2.67 0.00 48.73    99.41 68.45 21.90
74.1430 2.64 549 2.68 10.17 43.45    2.62 549 2.68 0.00 63.39    99.42 68.45 21.90
75.8460 2.64 553 2.70 7.46 63.00    2.62 543 2.65 0.00 34.06    99.41 68.45 21.90
77.2760 2.64 558 2.73 6.90 87.44    2.62 542 2.65 0.00 29.18    99.41 68.45 21.90
78.9780 2.64 557 2.72 9.36 82.55    2.62 547 2.67 0.00 53.61    99.41 68.45 21.90
80.4070 2.64 555 2.71 6.90 72.78    2.62 542 2.65 0.00 29.18    99.42 68.56 21.90
82.1070 2.64 552 2.70 8.92 58.11    2.62 546 2.67 0.00 48.73    99.42 68.56 21.90
83.5360 2.64 557 2.72 11.61 82.55    2.62 536 2.62 0.00 -0.15    99.42 68.56 21.90
85.2390 2.64 560 2.74 2.78 97.21    2.62 537 2.62 0.00 4.74    99.42 68.56 21.90
86.6680 2.64 545 2.66 7.97 23.90    2.62 544 2.66 0.00 38.95    99.42 68.56 21.90
88.3680 2.64 548 2.68 8.92 38.56    2.62 546 2.67 0.00 48.73    99.41 68.56 21.90
89.7980 2.64 555 2.71 8.92 72.78    2.62 546 2.67 0.00 48.73    99.42 68.56 21.90
91.4990 2.64 552 2.70 8.46 58.11    2.62 545 2.66 0.00 43.84    99.42 68.56 21.90
92.9290 2.64 567 2.77 4.87 131.43    2.62 539 2.63 0.00 14.51    99.41 68.56 21.90
94.6310 2.64 550 2.69 5.63 48.34    2.62 540 2.64 0.00 19.40    99.42 68.56 21.90
